reaction,GO_HKP,DLKcat,MTLKP,TurNup,UniKP
ACALDtex_reverse_num2,33.2825,,,,
ACALDtex_reverse_num3,94.81680000000001,,,,
ACALDtex_reverse_num4,96.29042090558659,,,,
ACANTHAT,217.1028613676441,17.1156,2.794544,2.163898468017578,1.4330536873499606
ACBIPGT,123.60963225270937,1.3027,,,3.3432434028960154
ACCOAC,120.50274604186052,147.2453,8.438788,6.103725910186768,14.530183055053186
ACCOAL_num1,98.01796506366395,0.6358,,47.2357292175293,33.66240634310002
ACCOAL_num2,115.69288473855748,,,4.6655097007751465,2.459055654015251
ACGAL1Ptex_num1,96.29042090558659,,,,
ACGAL1Ptex_num2,33.2825,,,,
ACGAL1Ptex_num3,94.81680000000001,,,,
ACGAL1Ptex_num4,96.29042090558659,,,,
ACGAL1Ptex_reverse_num1,96.29042090558659,,,,
ACGAL1Ptex_reverse_num2,33.2825,,,,
ACGAL1Ptex_reverse_num3,94.81680000000001,,,,
ACGAL1Ptex_reverse_num4,96.29042090558659,,,,
ACGALtex_num1,96.29042090558659,,,,
ACGALtex_num2,33.2825,,,,
ACGALtex_num3,94.81680000000001,,,,
ACGALtex_num4,96.29042090558659,,,,
ACGALtex_reverse_num1,96.29042090558659,,,,
ACGALtex_reverse_num2,33.2825,,,,
ACGALtex_reverse_num3,94.81680000000001,,,,
ACGALtex_reverse_num4,96.29042090558659,,,,
ACGAM1Ptex_num1,96.29042090558659,,,,
ACGAM1Ptex_num2,33.2825,,,,
ACGAM1Ptex_num3,94.81680000000001,,,,
ACGAM1Ptex_num4,96.29042090558659,,,,
ACGAM1Ptex_reverse_num1,96.29042090558659,,,,
ACGAM1Ptex_reverse_num2,33.2825,,,,
ACGAM1Ptex_reverse_num3,94.81680000000001,,,,
ACGAM1Ptex_reverse_num4,96.29042090558659,,,,
ACGAMK,129.20025527297207,3.9549,2.3996825,8.194817543029785,3.7555663346331047
ACGAMT,115.83646287246222,1.2302,1.8122653,0.981602907180786,57.063283581709584
ACGAptspp_num1,189.6850202355557,18.7736,3.6469963,2.700984001159668,20.83005914936328
ACGAptspp_num2,160.70234805267864,,0.96225995,10.53089427947998,18.05149927356397
ACGAtex_num1,96.29042090558659,,,,
ACGAtex_num2,33.2825,,,,
ACGAtex_num3,94.81680000000001,,,,
ACGAtex_num4,96.29042090558659,,,,
ACGAtex_reverse_num1,96.29042090558659,,,,
ACGAtex_reverse_num2,33.2825,,,,
ACGAtex_reverse_num3,94.81680000000001,,,,
ACGAtex_reverse_num4,96.29042090558659,,,,
ACGK,121.175352563932,0.0217,13.4864855,33.35515594482422,3.0734277155319725
ACGS,119.02616885646879,122.9587,12.940303,2.442931890487671,5.604077151560538
ACHBS_num1,121.23861216232467,372541.5801,9.927865,19.437274932861328,6.029423425870919
ACHBS_num2,122.42412220751703,6.7642,4.431974,14.868906021118164,33.66240634310002
ACKr_num1,115.69288473855748,0.1074,1.9568928,8.91225528717041,6.332120906841956
ACKr_num2,164.9625165554,1.6836,710.003,622.01904296875,3.0734277155319725
